value1,value2,result,operation,time
1,2,3.0,addition,1639521726.773661
1,2,-1.0,subtraction,1639521731.117123
1,2,3.0,addition,1639521817.597634
1,2,3.0,addition,1639522469.319649
1,2,3.0,addition,1639523211.057864
1,2,3.0,addition,1639523212.636232
1,2,0.5,division,1639523214.798293
1,2,0.5,division,1639523216.869583
1,2,2.0,multiplication,1639523218.821761
1,2,-1.0,subtraction,1639523220.853452
1,2,2.0,multiplication,1639523223.628157
1,2,0.5,division,1639523225.615121
1,2,2.0,multiplication,1639523227.441585
1,2,-1.0,subtraction,1639523230.035991
1,2,3.0,addition,1639523237.900781
1,2,3.0,addition,1639523240.211559
1,2,0.5,division,1639523242.253098
1,2,2.0,multiplication,1639523244.565127
